director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
JohnLasseter,JoeMantegna,ThomasKretschmann,EddieIzzard,"adventure,animation,comedy,family,sport",Cars 2,"JoeMantegna ThomasKretschmann EddieIzzard JohnLasseter adventure,animation,comedy,family,sport bestfriend,carrace,conspiracy,gadgetcar,spy"
MartinCampbell,RyanReynolds,TemueraMorrison,TaikaWaititi,"action,adventure,sci-fi",Green Lantern,"RyanReynolds TemueraMorrison TaikaWaititi MartinCampbell action,adventure,sci-fi autopsy,lantern,planet,ring,testpilot"
LeeUnkrich,TomHanks,JohnRatzenberger,DonRickles,"adventure,animation,comedy,family,fantasy",Toy Story 3,"TomHanks JohnRatzenberger DonRickles LeeUnkrich adventure,animation,comedy,family,fantasy college,daycare,escape,teddybear,toy"
McG,ChristianBale,BryceDallasHoward,Common,"action,adventure,sci-fi",Terminator Salvation,"ChristianBale BryceDallasHoward Common McG action,adventure,sci-fi deathrow,future,machine,rescue,skynet"
JamesWan,JasonStatham,PaulWalker,VinDiesel,"action,crime,thriller",Furious 7,"JasonStatham PaulWalker VinDiesel JamesWan action,crime,thriller carfallingoffacliff,hospital,revenge,stardiedbeforerelease,terrorist"
MarcForster,PeterCapaldi,BradPitt,MireilleEnos,"action,adventure,horror,sci-fi,thriller",World War Z,"PeterCapaldi BradPitt MireilleEnos MarcForster action,adventure,horror,sci-fi,thriller chaos,disease,infection,pandemic,zombie"
BryanSinger,JenniferLawrence,PeterDinklage,HughJackman,"action,adventure,fantasy,sci-fi,thriller",X-Men: Days of Future Past,"JenniferLawrence PeterDinklage HughJackman BryanSinger action,adventure,fantasy,sci-fi,thriller dystopia,superstrength,supernaturalpower,timeparadox,timetravel"
J.J.Abrams,BenedictCumberbatch,BruceGreenwood,NoelClarke,"action,adventure,sci-fi",Star Trek Into Darkness,"BenedictCumberbatch BruceGreenwood NoelClarke J.J.Abrams action,adventure,sci-fi admiral,captain,manhunt,mission,space"
BryanSinger,EddieMarsan,EwenBremner,RalphBrown,"adventure,fantasy",Jack the Giant Slayer,"EddieMarsan EwenBremner RalphBrown BryanSinger adventure,fantasy bean,giant,king,noopeningcredits,princess"
MikeNewell,JakeGyllenhaal,RichardCoyle,ReeceRitchie,"action,adventure,fantasy,romance",Prince of Persia: The Sands of Time,"JakeGyllenhaal RichardCoyle ReeceRitchie MikeNewell action,adventure,fantasy,romance alamut,dagger,king,persia,princess"
GuillermodelToro,CharlieHunnam,CliftonCollinsJr.,LarryJoeCampbell,"action,adventure,sci-fi",Pacific Rim,"CharlieHunnam CliftonCollinsJr. LarryJoeCampbell GuillermodelToro action,adventure,sci-fi giantmonster,kaiju,pilot,portal,robot"
MichaelBay,GlennMorshower,LesterSpeight,KevinDunn,"action,adventure,sci-fi",Transformers: Dark of the Moon,"GlennMorshower LesterSpeight KevinDunn MichaelBay action,adventure,sci-fi autobot,decepticon,jobinterview,moon,spacecraft"
StevenSpielberg,HarrisonFord,RayWinstone,JimBroadbent,"action,adventure,fantasy",Indiana Jones and the Kingdom of the Crystal Skull,"HarrisonFord RayWinstone JimBroadbent StevenSpielberg action,adventure,fantasy cultfigure,femmefatale,indianajones,unsubtitledforeignlanguage,year1957"
PeterSohn,A.J.Buckley,JackMcGraw,PeterSohn,"adventure,animation,comedy,family,fantasy",The Good Dinosaur,"A.J.Buckley JackMcGraw PeterSohn PeterSohn adventure,animation,comedy,family,fantasy apatosaurus,asteroid,dinosaur,fear,river"
MarkAndrews,KellyMacdonald,JohnRatzenberger,JulieWalters,"adventure,animation,comedy,family,fantasy",Brave,"KellyMacdonald JohnRatzenberger JulieWalters MarkAndrews adventure,animation,comedy,family,fantasy archery,comingofage,femalewarrior,princess,rebelliousdaughter"
JustinLin,SofiaBoutella,MelissaRoxburgh,LydiaWilson,"action,adventure,sci-fi,thriller",Star Trek Beyond,"SofiaBoutella MelissaRoxburgh LydiaWilson JustinLin action,adventure,sci-fi,thriller hatred,sequel,spaceopera,startrek,thirdpart"
AndrewStanton,JohnRatzenberger,FredWillard,JeffGarlin,"adventure,animation,family,sci-fi",WALL·E,"JohnRatzenberger FredWillard JeffGarlin AndrewStanton adventure,animation,family,sci-fi earth,obesity,plant,robot,soil"
BrettRatner,TziMa,DanaIvey,NoémieLenoir,"action,comedy,crime,thriller",Rush Hour 3,"TziMa DanaIvey NoémieLenoir BrettRatner action,comedy,crime,thriller ambassador,assassination,chinese,french,triad"
RolandEmmerich,OliverPlatt,LiamJames,TomMcCarthy,"action,adventure,sci-fi",2012,"OliverPlatt LiamJames TomMcCarthy RolandEmmerich action,adventure,sci-fi ark,catastrophe,geologist,president,writer"
RobertZemeckis,RobinWright,ColinFirth,GaryOldman,"animation,drama,family,fantasy",A Christmas Carol,"RobinWright ColinFirth GaryOldman RobertZemeckis animation,drama,family,fantasy charlesdickens,christmas,christmaseve,ghost,scrooge"
LanaWachowski,ChanningTatum,MilaKunis,EddieRedmayne,"action,adventure,sci-fi",Jupiter Ascending,"ChanningTatum MilaKunis EddieRedmayne LanaWachowski action,adventure,sci-fi boxofficeflop,criticallybashed,planetearth,spaceopera,womaninbraandpanties"
AndrewAdamson,JimBroadbent,KiranShah,ShaneRangi,"adventure,family,fantasy","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","JimBroadbent KiranShah ShaneRangi AndrewAdamson adventure,family,fantasy hideandseek,lion,magic,professor,snow"
BryanSinger,JenniferLawrence,MichaelFassbender,TyeSheridan,"action,adventure,sci-fi",X-Men: Apocalypse,"JenniferLawrence MichaelFassbender TyeSheridan BryanSinger action,adventure,sci-fi mutant,superhero,superheroteam,xmen,year1983"
ChristopherNolan,ChristianBale,HeathLedger,MorganFreeman,"action,crime,drama,thriller",The Dark Knight,"ChristianBale HeathLedger MorganFreeman ChristopherNolan action,crime,drama,thriller basedoncomicbook,dccomics,psychopath,stardiedbeforerelease,urbansetting"
PeteDocter,JohnRatzenberger,DelroyLindo,JessHarnell,"adventure,animation,comedy,family",Up,"JohnRatzenberger DelroyLindo JessHarnell PeteDocter adventure,animation,comedy,family balloon,house,promise,retirement,skeleton"
RobLetterman,AmyPoehler,RainnWilson,StephenColbert,"action,adventure,animation,comedy,family,sci-fi",Monsters vs. Aliens,"AmyPoehler RainnWilson StephenColbert RobLetterman action,adventure,animation,comedy,family,sci-fi alien,alieninvasion,alienspacecraft,giant,giantess"
JonFavreau,RobertDowneyJr.,JeffBridges,JonFavreau,"action,adventure,sci-fi",Iron Man,"RobertDowneyJr. JeffBridges JonFavreau JonFavreau action,adventure,sci-fi afghanistan,billionaire,inventor,playboy,u.s.airforce"
MartinScorsese,ChloëGraceMoretz,ChristopherLee,RayWinstone,"adventure,drama,family,mystery",Hugo,"ChloëGraceMoretz ChristopherLee RayWinstone MartinScorsese adventure,drama,family,mystery automaton,mechanical,railwaystation,steampunk,train"
BarrySonnenfeld,WillSmith,SalmaHayek,BaiLing,"action,comedy,sci-fi,western",Wild Wild West,"WillSmith SalmaHayek BaiLing BarrySonnenfeld action,comedy,sci-fi,western buddymovie,general,inventor,steampunk,utah"
RobCohen,JetLi,BrendanFraser,RussellWong,"action,adventure,fantasy,horror,thriller",The Mummy: Tomb of the Dragon Emperor,"JetLi BrendanFraser RussellWong RobCohen action,adventure,fantasy,horror,thriller army,china,emperor,mummy,shangrila"
DavidAyer,WillSmith,RobinAtkinDownes,IkeBarinholtz,"action,adventure,comedy,sci-fi",Suicide Squad,"WillSmith RobinAtkinDownes IkeBarinholtz DavidAyer action,adventure,comedy,sci-fi basedoncomicbook,criticallybashed,fatherdaughterrelationship,referencetosuperman,supervillain"
TomShadyac,JimmyBennett,MorganFreeman,SteveCarell,"comedy,family,fantasy",Evan Almighty,"JimmyBennett MorganFreeman SteveCarell TomShadyac comedy,family,fantasy ark,change,congressman,depictionofgod,flood"
DougLiman,TomCruise,LaraPulver,NoahTaylor,"action,adventure,sci-fi",Edge of Tomorrow,"TomCruise LaraPulver NoahTaylor DougLiman action,adventure,sci-fi alien,combat,dyingrepeatedly,endoftheworld,timeloop"
KevinReynolds,JeanneTripplehorn,RickAviles,ZakesMokae,"action,adventure,sci-fi,thriller",Waterworld,"JeanneTripplehorn RickAviles ZakesMokae KevinReynolds action,adventure,sci-fi,thriller future,sail,sea,smoker,water"
StephenSommers,JosephGordon-Levitt,DennisQuaid,LeoHoward,"action,adventure,sci-fi,thriller",G.I. Joe: The Rise of Cobra,"JosephGordon-Levitt DennisQuaid LeoHoward StephenSommers action,adventure,sci-fi,thriller cobra,gijoe,snake,train,warhead"
PeteDocter,AmyPoehler,MindyKaling,PhyllisSmith,"adventure,animation,comedy,drama,family,fantasy",Inside Out,"AmyPoehler MindyKaling PhyllisSmith PeteDocter adventure,animation,comedy,drama,family,fantasy anger,joy,memory,runningaway,sadness"
JonFavreau,RobertDowneyJr.,ScarlettJohansson,JonFavreau,"action,adventure,sci-fi",Iron Man 2,"RobertDowneyJr. ScarlettJohansson JonFavreau JonFavreau action,adventure,sci-fi hammer,military,monaco,revenge,tonystark"
RupertSanders,ChrisHemsworth,KristenStewart,SamClaflin,"action,adventure,drama,fantasy",Snow White and the Huntsman,"ChrisHemsworth KristenStewart SamClaflin RupertSanders action,adventure,drama,fantasy evilqueen,fairytale,magic,queen,snowwhite"
RobertStromberg,AngelinaJoliePitt,SharltoCopley,SamRiley,"action,adventure,family,fantasy,romance",Maleficent,"AngelinaJoliePitt SharltoCopley SamRiley RobertStromberg action,adventure,family,fantasy,romance curse,darkfantasy,fairy,king,kingdom"
MattReeves,GaryOldman,JudyGreer,KodiSmit-McPhee,"action,adventure,drama,sci-fi",Dawn of the Planet of the Apes,"GaryOldman JudyGreer KodiSmit-McPhee MattReeves action,adventure,drama,sci-fi ape,dam,leader,postapocalypse,sequel"
CarlRinsch,KeanuReeves,Cary-HiroyukiTagawa,JinAkanishi,"action,adventure,drama,fantasy",47 Ronin,"KeanuReeves Cary-HiroyukiTagawa JinAkanishi CarlRinsch action,adventure,drama,fantasy boxofficeflop,ronin,samurai,shogun,tournament"
AnthonyRusso,ScarlettJohansson,ChrisEvans,HayleyAtwell,"action,adventure,sci-fi",Captain America: The Winter Soldier,"ScarlettJohansson ChrisEvans HayleyAtwell AnthonyRusso action,adventure,sci-fi conspiracy,heroism,megalomaniac,supersoldier,worlddomination"
MikeMitchell,JonHamm,KathyGriffin,MaryKayPlace,"adventure,animation,comedy,family,fantasy",Shrek Forever After,"JonHamm KathyGriffin MaryKayPlace MikeMitchell adventure,animation,comedy,family,fantasy alternateworld,fairytaleparody,femalewarrior,ogre,truelove"
BradBird,JudyGreer,ChrisBauer,ThomasRobinson,"action,adventure,family,mystery,sci-fi",Tomorrowland,"JudyGreer ChrisBauer ThomasRobinson BradBird action,adventure,family,mystery,sci-fi boygenius,futuristiccity,inventor,teenagegirl,timetravel"
DonHall,DamonWayansJr.,DanielHenney,AbrahamBenrubi,"action,adventure,animation,comedy,drama,family,sci-fi",Big Hero 6,"DamonWayansJr. DanielHenney AbrahamBenrubi DonHall action,adventure,animation,comedy,drama,family,sci-fi hightech,martialarts,maskedman,robot,superhero"
RichMoore,JackMcBrayer,SarahSilverman,JoeLoTruglio,"adventure,animation,comedy,family,sci-fi",Wreck-It Ralph,"JackMcBrayer SarahSilverman JoeLoTruglio RichMoore adventure,animation,comedy,family,sci-fi arcade,candy,glitch,king,medal"
RobertZemeckis,TomHanks,EddieDeezen,PeterScolari,"adventure,animation,family,fantasy",The Polar Express,"TomHanks EddieDeezen PeterScolari RobertZemeckis adventure,animation,family,fantasy boy,christmas,christmaseve,northpole,train"
RolandEmmerich,VivicaA.Fox,SelaWard,JuddHirsch,"action,adventure,sci-fi",Independence Day: Resurgence,"VivicaA.Fox SelaWard JuddHirsch RolandEmmerich action,adventure,sci-fi alien,battle,defense,independenceday,mothership"
DeanDeBlois,GerardButler,AmericaFerrera,CraigFerguson,"adventure,animation,family,fantasy",How to Train Your Dragon,"GerardButler AmericaFerrera CraigFerguson DeanDeBlois adventure,animation,family,fantasy dragon,island,training,viking,village"
JonathanMostow,NickStahl,M.C.Gainey,CarolynHennesy,"action,sci-fi",Terminator 3: Rise of the Machines,"NickStahl M.C.Gainey CarolynHennesy JonathanMostow action,sci-fi drifter,explodingtruck,future,machine,skynet"
JamesGunn,BradleyCooper,VinDiesel,DjimonHounsou,"action,adventure,sci-fi",Guardians of the Galaxy,"BradleyCooper VinDiesel DjimonHounsou JamesGunn action,adventure,sci-fi bountyhunter,outerspace,raccoon,talkinganimal,tree"
ChristopherNolan,MatthewMcConaughey,AnneHathaway,MackenzieFoy,"adventure,drama,sci-fi",Interstellar,"MatthewMcConaughey AnneHathaway MackenzieFoy ChristopherNolan adventure,drama,sci-fi blackhole,fatherdaughterrelationship,savingtheworld,spacetravel,wormhole"
ChristopherNolan,LeonardoDiCaprio,TomHardy,JosephGordon-Levitt,"action,adventure,sci-fi,thriller",Inception,"LeonardoDiCaprio TomHardy JosephGordon-Levitt ChristopherNolan action,adventure,sci-fi,thriller ambiguousending,corporateespionage,dream,subconscious,thief"
PeterJackson,AidanTurner,AdamBrown,JamesNesbitt,"adventure,fantasy",The Hobbit: An Unexpected Journey,"AidanTurner AdamBrown JamesNesbitt PeterJackson adventure,fantasy dragon,dwarf,hobbit,orc,wizard"
DavidFincher,BradPitt,JasonFlemyng,JuliaOrmond,"drama,fantasy,romance",The Curious Case of Benjamin Button,"BradPitt JasonFlemyng JuliaOrmond DavidFincher drama,fantasy,romance deformedbaby,diary,lingerieslip,oldermanyoungerwomanrelationship,prematureaging"
MatthewVaughn,JenniferLawrence,MichaelFassbender,OliverPlatt,"action,adventure,sci-fi",X-Men: First Class,"JenniferLawrence MichaelFassbender OliverPlatt MatthewVaughn action,adventure,sci-fi cia,ciaagent,mutant,nuclearwar,professor"
FrancisLawrence,JenniferLawrence,PhilipSeymourHoffman,JoshHutcherson,"adventure,sci-fi",The Hunger Games: Mockingjay - Part 2,"JenniferLawrence PhilipSeymourHoffman JoshHutcherson FrancisLawrence adventure,sci-fi deathofsister,dystopia,execution,rebellion,revolution"
JonTurteltaub,NicolasCage,OmarBensonMiller,RobertCapron,"action,adventure,family,fantasy",The Sorcerer's Apprentice,"NicolasCage OmarBensonMiller RobertCapron JonTurteltaub action,adventure,family,fantasy chosenone,enchantedobject,love,spell,training"
WolfgangPetersen,JimmyBennett,MikeVogel,AndreBraugher,"action,adventure,drama,thriller",Poseidon,"JimmyBennett MikeVogel AndreBraugher WolfgangPetersen action,adventure,drama,thriller cruise,escape,ocean,passenger,water"
JamesBobin,JohnnyDepp,AlanRickman,AnneHathaway,"adventure,family,fantasy",Alice Through the Looking Glass,"JohnnyDepp AlanRickman AnneHathaway JamesBobin adventure,family,fantasy clock,darkfantasy,madhatter,queen,sequel"
ChrisMiller,JustinTimberlake,EricIdle,RupertEverett,"adventure,animation,comedy,family,fantasy",Shrek the Third,"JustinTimberlake EricIdle RupertEverett ChrisMiller adventure,animation,comedy,family,fantasy disneyspoof,fairytale,prince,princess,toughguy"
DuncanJones,DominicCooper,CallumRennie,RuthNegga,"action,adventure,fantasy",Warcraft,"DominicCooper CallumRennie RuthNegga DuncanJones action,adventure,fantasy basedonvideogame,fictionallanguage,fictionalwar,orc,swordandsorcery"
AlanTaylor,J.K.Simmons,EmiliaClarke,MattSmith,"action,adventure,sci-fi",Terminator Genisys,"J.K.Simmons EmiliaClarke MattSmith AlanTaylor action,adventure,sci-fi alternatetimeline,cyborg,future,robot,timemachine"
MichaelApted,BruceSpence,ShaneRangi,LauraBrent,"adventure,family,fantasy",The Chronicles of Narnia: The Voyage of the Dawn Treader,"BruceSpence ShaneRangi LauraBrent MichaelApted adventure,family,fantasy dragon,king,mouse,quest,warrior"
MichaelBay,JenniferGarner,JaimeKing,Mako,"action,drama,history,romance,war",Pearl Harbor,"JenniferGarner JaimeKing Mako MichaelBay action,drama,history,romance,war airraid,blacksmoke,japanesemilitary,japanesenavy,sunday"
MichaelBay,ZackWard,MichaelO'Neill,KevinDunn,"action,adventure,sci-fi",Transformers,"ZackWard MichaelO'Neill KevinDunn MichaelBay action,adventure,sci-fi aliencontact,autobot,decepticon,robotvs.robot,teenagehero"
OliverStone,AnthonyHopkins,AngelinaJoliePitt,BrianBlessed,"action,adventure,biography,drama,history,romance,war",Alexander,"AnthonyHopkins AngelinaJoliePitt BrianBlessed OliverStone action,adventure,biography,drama,history,romance,war ancientgreece,conquest,greek,greekmyth,king"
DavidYates,RobertPattinson,DanielRadcliffe,FionaShaw,"adventure,family,fantasy,mystery",Harry Potter and the Order of the Phoenix,"RobertPattinson DanielRadcliffe FionaShaw DavidYates adventure,family,fantasy,mystery battle,magic,school,teacher,wizard"
MikeNewell,RobertPattinson,DanielRadcliffe,RupertGrint,"adventure,family,fantasy,mystery",Harry Potter and the Goblet of Fire,"RobertPattinson DanielRadcliffe RupertGrint MikeNewell adventure,family,fantasy,mystery fire,goblet,magic,tournament,wizard"
PeterBerg,WillSmith,CharlizeTheron,EddieMarsan,"action,drama",Hancock,"WillSmith CharlizeTheron EddieMarsan PeterBerg action,drama bullycomeuppance,destruction,prison,superhero,toughgirl"
FrancisLawrence,WillSmith,AliceBraga,WillowSmith,"drama,horror,sci-fi",I Am Legend,"WillSmith AliceBraga WillowSmith FrancisLawrence drama,horror,sci-fi newyorkcity,pandemic,postapocalypse,survivalist,virus"
TimBurton,JohnnyDepp,ChristopherLee,DavidKelly,"adventure,comedy,family,fantasy",Charlie and the Chocolate Factory,"JohnnyDepp ChristopherLee DavidKelly TimBurton adventure,comedy,family,fantasy chocolate,diminution,miniaturization,physicalflexability,ticket"
BradBird,JaneaneGarofalo,JohnRatzenberger,BrianDennehy,"animation,comedy,family,fantasy",Ratatouille,"JaneaneGarofalo JohnRatzenberger BrianDennehy BradBird animation,comedy,family,fantasy chef,food,french,rat,restaurant"
ChristopherNolan,ChristianBale,LiamNeeson,MorganFreeman,"action,adventure",Batman Begins,"ChristianBale LiamNeeson MorganFreeman ChristopherNolan action,adventure armoredcar,gangster,gotham,mixedmartialarts,socialdecay"
EricDarnell,BernieMac,JadaPinkettSmith,CedrictheEntertainer,"action,adventure,animation,comedy,family",Madagascar: Escape 2 Africa,"BernieMac JadaPinkettSmith CedrictheEntertainer EricDarnell action,adventure,animation,comedy,family africa,madagascar,newyorkcity,sequel,zoo"
ShawnLevy,RobinWilliams,RamiMalek,SteveCoogan,"adventure,comedy,family,fantasy",Night at the Museum: Battle of the Smithsonian,"RobinWilliams RamiMalek SteveCoogan ShawnLevy adventure,comedy,family,fantasy hdtv,motorcycle,museum,securityguard,tyrannosaurusrex"
GavinHood,HughJackman,RyanReynolds,DominicMonaghan,"action,adventure,fantasy,sci-fi,thriller",X-Men Origins: Wolverine,"HughJackman RyanReynolds DominicMonaghan GavinHood action,adventure,fantasy,sci-fi,thriller army,civilwar,clawfight,commando,wolverinethecharacter"
LanaWachowski,EssieDavis,CollinChou,NonaGaye,"action,sci-fi",The Matrix Revolutions,"EssieDavis CollinChou NonaGaye LanaWachowski action,sci-fi battle,epic,fight,future,machine"
